iter	RMSE
0	14.9728032
1	14.59751342
2	14.1964761
3	13.88548339
4	13.54939887
5	13.25635771
6	12.97877663
7	12.68240965
8	12.41086164
9	12.1040602
10	11.83983456
11	11.57021729
12	11.30485811
13	11.03515348
14	10.81665934
15	10.61988919
16	10.38594012
17	10.1660591
18	9.983714233
19	9.79089996
20	9.595187772
21	9.417542353
22	9.258604116
23	9.087648979
24	8.929130183
25	8.785071738
26	8.647860495
27	8.513391686
28	8.362851775
29	8.240292042
30	8.111860009
31	7.992213521
32	7.863936065
33	7.773030078
34	7.65254042
35	7.55034796
36	7.463058758
37	7.369828162
38	7.274370926
39	7.183545928
40	7.093962601
41	7.017409801
42	6.937890284
43	6.863818047
44	6.791307561
45	6.736122357
46	6.670381773
47	6.603881786
48	6.552787936
49	6.495267713
50	6.439730903
51	6.389406507
52	6.347272188
53	6.295688048
54	6.246892723
55	6.206774868
56	6.164681561
57	6.118033517
58	6.083523099
59	6.051059267
60	6.013078149
61	5.980546021
62	5.945873637
63	5.915843997
64	5.891915648
65	5.865576632
66	5.837092628
67	5.812150978
68	5.786733303
69	5.759923783
70	5.736481307
71	5.710969992
72	5.69267121
73	5.669715872
74	5.645455623
75	5.621823143
76	5.605904219
77	5.586303835
78	5.56710238
79	5.547007971
80	5.533546815
81	5.520971632
82	5.505516656
83	5.492802222
84	5.478152236
85	5.464629177
86	5.456055527
87	5.444291311
88	5.42803188
89	5.415200253
90	5.402370085
91	5.391784406
92	5.384795644
93	5.371464445
94	5.358898848
95	5.345047244
96	5.334369371
97	5.32443039
98	5.313494654
99	5.303233449
100	5.293332049
101	5.277725326
102	5.270278775
103	5.259301631
104	5.251998441
105	5.243433784
106	5.237371173
107	5.227599018
108	5.217232225
109	5.208098332
110	5.202058286
111	5.19212218
112	5.184793011
113	5.178786432
114	5.172590815
115	5.167274551
116	5.159448084
117	5.153063612
118	5.148701045
119	5.145573677
120	5.139568182
121	5.133776071
122	5.125558833
123	5.118868059
124	5.114700303
125	5.105368569
126	5.098164476
127	5.091064362
128	5.087109146
129	5.081920225
130	5.076516483
131	5.071555985
132	5.066478728
133	5.060444662
134	5.05533507
135	5.05162903
136	5.049953099
137	5.045434215
138	5.039056669
139	5.033369533
140	5.02693388
141	5.021852683
142	5.019188997
143	5.014386391
144	5.011028359
145	5.005722058
146	5.001654209
147	4.999063345
148	4.9948116
149	4.987842222
150	4.982700063
151	4.977930659
152	4.974183313
153	4.971216085
154	4.966371082
155	4.962417031
156	4.958522194
157	4.954742497
158	4.948752335
159	4.946607373
160	4.943322113
161	4.939180678
162	4.934540677
163	4.929681536
