iter	Passed	Remaining
0	0	48
1	0	44
2	1	43
3	1	39
4	2	39
5	2	38
6	2	36
7	3	36
8	3	35
9	3	35
10	4	35
11	5	38
12	6	41
13	7	43
14	7	44
15	9	47
16	10	48
17	10	48
18	11	47
19	11	46
20	12	45
21	12	44
22	13	43
23	13	42
24	13	41
25	14	40
26	14	39
27	15	38
28	15	37
29	15	36
30	16	35
31	16	35
32	16	34
33	17	33
34	17	32
35	18	32
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	21	29
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	26	24
52	27	24
53	27	23
54	27	22
55	28	22
56	28	21
57	28	20
58	29	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	16
65	31	16
66	31	15
67	32	15
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	38	7
84	39	6
85	39	6
86	39	5
87	40	5
88	40	5
89	41	4
90	41	4
91	41	3
92	42	3
93	42	2
94	42	2
95	43	1
96	43	1
97	43	0
98	44	0
99	44	0
