,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
976,male,group B,some college,free/reduced,completed,60,62,60
668,male,group C,some college,standard,none,73,74,61
836,male,group E,high school,standard,none,73,64,57
479,male,group E,associate's degree,standard,none,76,71,67
83,male,group E,associate's degree,standard,none,72,64,63
690,female,group C,associate's degree,standard,none,49,53,53
312,male,group D,bachelor's degree,standard,completed,67,61,68
580,female,group D,some high school,standard,none,81,97,96
746,male,group D,high school,standard,none,69,75,71
999,female,group D,some college,free/reduced,none,77,86,86
801,male,group C,some high school,standard,completed,76,80,73
742,female,group C,high school,standard,none,81,84,82
393,male,group C,associate's degree,standard,completed,57,54,56
987,male,group E,some high school,standard,completed,81,75,76
258,female,group B,some college,standard,none,70,75,78
45,male,group B,associate's degree,standard,none,65,54,57
708,male,group D,high school,standard,none,89,87,79
783,female,group C,associate's degree,standard,completed,52,59,62
996,male,group C,high school,free/reduced,none,62,55,55
493,female,group C,bachelor's degree,standard,none,81,88,90
786,female,group E,some high school,free/reduced,none,72,79,77
816,female,group A,bachelor's degree,standard,none,45,59,64
658,female,group D,associate's degree,free/reduced,none,43,60,58
758,female,group D,some college,free/reduced,completed,52,59,65
588,female,group C,some college,standard,none,54,64,65
678,male,group D,associate's degree,free/reduced,none,81,75,78
213,male,group C,associate's degree,free/reduced,completed,60,51,56
847,male,group D,high school,standard,none,64,54,50
986,female,group C,associate's degree,standard,none,40,59,51
373,female,group D,some college,standard,completed,82,97,96
499,male,group E,some college,standard,none,76,71,72
248,female,group B,high school,standard,none,65,64,62
293,female,group E,bachelor's degree,standard,none,65,73,75
952,female,group E,some high school,free/reduced,none,74,74,72
481,female,group D,associate's degree,free/reduced,none,52,59,56
214,male,group E,high school,standard,completed,87,91,81
193,male,group D,some college,standard,completed,77,62,62
849,male,group D,associate's degree,standard,none,80,75,69
467,male,group A,high school,free/reduced,completed,72,67,65
421,female,group D,high school,standard,completed,57,58,64
206,male,group E,bachelor's degree,standard,none,82,62,62
296,male,group A,some high school,standard,completed,46,41,43
445,female,group C,some high school,standard,completed,67,74,77
785,female,group B,some high school,standard,completed,32,51,44
42,female,group B,associate's degree,standard,none,53,58,65
272,female,group D,associate's degree,free/reduced,none,47,53,58
865,male,group D,some college,standard,completed,82,82,88
600,female,group D,master's degree,standard,none,54,60,63
880,male,group C,bachelor's degree,standard,completed,63,64,66
745,male,group D,associate's degree,standard,none,72,79,74
75,male,group B,associate's degree,free/reduced,none,44,41,38
119,female,group C,some college,standard,none,55,69,65
492,female,group C,some college,standard,none,83,83,90
646,female,group D,associate's degree,standard,none,59,70,65
763,female,group B,high school,standard,none,62,62,63
868,male,group E,associate's degree,free/reduced,completed,78,74,72
984,female,group C,some high school,standard,none,74,75,82
