iter	RMSE
0	14.96233265
1	14.57552851
2	14.18703326
3	13.81460417
4	13.46434495
5	13.1653914
6	12.86245515
7	12.56209324
8	12.26734892
9	11.96605407
10	11.68401967
11	11.43262814
12	11.2113696
13	10.96190662
14	10.71273054
15	10.47154015
16	10.25117929
17	10.04182652
18	9.828611141
19	9.635623479
20	9.46248167
21	9.283941798
22	9.103688275
23	8.935368882
24	8.774274378
25	8.629144904
26	8.475793621
27	8.352809278
28	8.220320503
29	8.094043323
30	7.990300551
31	7.879828821
32	7.771492805
33	7.663922498
34	7.556591631
35	7.458263596
36	7.362534154
37	7.286969812
38	7.200955007
39	7.123157377
40	7.048706501
41	6.975318669
42	6.910433587
43	6.846829638
44	6.780160037
45	6.706637357
46	6.638579537
47	6.581377064
48	6.516880924
49	6.462878212
50	6.410236074
51	6.35264652
52	6.305643042
53	6.257069191
54	6.211960442
55	6.169560739
56	6.126759642
57	6.09426559
58	6.058266992
59	6.026735422
60	5.993429609
61	5.958296261
62	5.930028337
63	5.894359511
64	5.866727744
65	5.838247381
66	5.810160633
67	5.782367745
68	5.760554663
69	5.738001794
70	5.710622612
71	5.68496912
72	5.666755636
73	5.644530966
74	5.622879678
75	5.606710944
76	5.587772871
77	5.570612738
78	5.553927085
79	5.538217972
80	5.521262175
81	5.510925091
82	5.494164619
83	5.479364858
84	5.465293048
85	5.449145708
86	5.437731014
87	5.425628094
88	5.409999783
89	5.397292032
90	5.387462305
91	5.37563267
92	5.366559639
93	5.357534697
94	5.348651286
95	5.342304022
96	5.32934028
97	5.321535913
98	5.311471327
99	5.304084437
100	5.294920694
101	5.284858039
102	5.274163915
103	5.262615734
104	5.253813385
105	5.247419393
106	5.23786414
107	5.227265043
108	5.221038364
109	5.214649234
110	5.210275382
111	5.20173779
112	5.189893974
113	5.182627361
114	5.177780062
115	5.169238762
116	5.163130127
117	5.155433025
118	5.150505349
119	5.144731573
120	5.141254635
121	5.133896311
122	5.126679563
123	5.119326213
124	5.114101227
125	5.107871449
126	5.102463545
127	5.095987421
128	5.084792571
129	5.080448225
130	5.074429923
131	5.067630456
132	5.059512297
133	5.051742656
134	5.045872097
135	5.042255136
136	5.038599944
137	5.034055342
138	5.030230301
139	5.025730089
140	5.020009264
141	5.016276282
142	5.013080504
143	5.006847134
144	5.001756127
145	4.998199704
146	4.992438372
147	4.986124915
148	4.979740914
149	4.977758556
150	4.974181735
151	4.970993567
152	4.964131453
153	4.959611955
154	4.954542271
155	4.949218419
156	4.944543881
157	4.942065386
158	4.937024895
159	4.932769316
160	4.931722963
161	4.926032482
162	4.923642356
163	4.919440282
164	4.912904951
165	4.907518625
166	4.905531345
167	4.899468052
168	4.893266683
169	4.888862053
170	4.881756103
171	4.876413455
172	4.87110744
173	4.867306447
174	4.864079251
175	4.86182926
176	4.855904028
177	4.851249254
178	4.846555862
179	4.844620041
180	4.841564489
181	4.838797322
182	4.834435302
183	4.832401169
184	4.830001099
185	4.827502366
186	4.827317951
187	4.825200502
188	4.822617194
189	4.820600004
190	4.816782029
191	4.81383674
192	4.807003479
193	4.80360727
194	4.800732789
195	4.796204308
196	4.793868316
197	4.791236672
198	4.788045604
199	4.780965958
200	4.776396691
201	4.770718662
