iter	Passed	Remaining
0	0	388
1	0	368
2	1	358
3	1	353
4	2	413
5	2	417
6	2	401
7	3	396
8	3	390
9	4	412
10	4	434
11	5	437
12	5	426
13	5	419
14	6	421
15	6	419
16	7	415
17	7	410
18	7	408
19	8	405
20	8	404
21	8	399
22	9	395
23	9	392
24	10	391
25	10	390
26	10	388
27	11	385
28	11	383
29	11	382
30	12	381
31	12	380
32	12	377
33	13	375
34	13	374
35	13	373
36	14	372
37	14	370
38	14	369
39	15	368
40	15	368
41	16	367
42	16	366
43	16	364
44	17	363
45	17	363
46	17	362
47	18	361
48	18	359
49	18	359
50	19	363
51	20	367
52	20	366
53	20	365
54	21	365
55	21	365
56	21	363
57	22	363
58	22	362
59	23	360
60	23	359
61	23	358
62	24	357
63	24	356
64	24	355
65	25	354
66	25	353
67	25	352
68	26	351
69	26	349
70	26	348
71	26	347
72	27	346
73	27	345
74	27	344
75	28	343
76	28	343
77	28	342
78	29	341
79	29	340
80	29	340
81	30	337
82	30	337
83	30	337
84	31	336
85	31	336
86	31	335
87	32	335
88	32	334
89	32	333
90	33	331
91	33	331
92	33	331
93	34	332
94	35	333
95	35	333
96	35	333
97	36	333
98	36	333
99	37	333
100	37	333
101	37	332
102	38	332
103	38	331
104	38	331
105	39	330
106	39	330
107	39	329
108	40	329
109	40	329
110	40	327
111	41	327
112	41	327
113	42	326
114	42	326
115	42	326
116	43	325
117	43	325
118	43	323
119	44	323
120	44	322
121	44	322
122	45	322
123	45	321
124	45	321
125	46	320
126	46	320
127	46	319
128	47	319
129	47	318
130	47	318
131	48	318
132	48	317
133	49	317
134	49	316
135	49	317
136	50	318
137	51	318
138	51	318
139	51	317
140	52	318
141	52	318
142	53	318
143	53	317
144	53	317
145	54	317
146	54	316
147	54	316
148	55	316
149	55	316
150	56	315
151	56	314
152	56	314
153	57	313
154	57	312
155	57	312
156	58	311
157	58	311
158	58	310
159	59	309
160	59	308
161	59	308
162	59	308
163	60	307
164	60	307
165	61	306
166	61	305
167	61	305
168	61	304
169	62	304
170	62	303
171	63	303
172	63	302
173	63	302
174	63	301
175	64	301
176	64	300
177	65	300
178	65	301
179	65	300
180	66	300
181	66	299
182	67	299
183	67	299
184	67	299
185	68	298
186	68	297
187	68	296
188	69	296
189	69	295
190	69	295
191	70	294
192	70	294
193	70	294
194	71	293
195	71	293
196	71	292
197	72	291
198	72	291
199	72	290
200	73	290
201	73	290
202	73	289
203	74	289
204	74	288
205	74	288
206	75	287
207	75	287
208	75	286
209	76	286
210	76	285
211	76	285
212	77	284
213	77	284
